algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
epsilon_greedy,0,0,0,0,9,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
ucb1,0,0,0,0,9,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
softmax,0,0,0,0,9,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
pac_successive_elimination,0,0,0,0,9,1,baseline_laissez_faire,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
epsilon_greedy,0,0,1,10,19,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
ucb1,0,0,1,10,19,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
softmax,0,0,1,10,19,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
pac_successive_elimination,0,0,1,10,19,3,moderate_taxation,7.306302087564786,3684.756760534129,434.58543924367876,251.25320581226075,0,,2.090642867383461,251.25320581226075
epsilon_greedy,0,0,2,20,29,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
ucb1,0,0,2,20,29,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
softmax,0,0,2,20,29,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
pac_successive_elimination,0,0,2,20,29,4,high_taxation,0.5183692522472306,-842.2073758300155,163.26919536926954,123.70648739551876,0,,0.8815022449630269,123.70648739551876
epsilon_greedy,0,0,3,30,39,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
ucb1,0,0,3,30,39,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
softmax,0,0,3,30,39,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
pac_successive_elimination,0,0,3,30,39,5,hard_capacity_control,-99.96205765785585,-849.0843091641246,106.4431981569922,97.78007494828263,1,0,0.36926471759400875,97.78007494828263
epsilon_greedy,0,0,4,40,49,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
ucb1,0,0,4,40,49,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
softmax,0,0,4,40,49,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
pac_successive_elimination,0,0,4,40,49,7,weak_capacity_control,-99.61394547597318,-398.9317990853771,94.19835877346286,92.88818246655615,1,0,0.15468642585873654,92.88818246655615
epsilon_greedy,0,0,5,50,59,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
ucb1,0,0,5,50,59,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
softmax,0,0,5,50,59,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
pac_successive_elimination,0,0,5,50,59,10,moderate_marine_reserve,-99.40584140437026,-193.65773782414095,94.5379600144631,93.07029491480951,1,0,0.06479874519519657,96.3975378597746
epsilon_greedy,0,0,6,60,69,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
ucb1,0,0,6,60,69,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
softmax,0,0,6,60,69,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
pac_successive_elimination,0,0,6,60,69,11,strong_marine_reserve,-99.25484401671116,-86.20851346646992,99.76373961063827,96.95817360140698,1,0,0.027144446292310928,102.75087723270701
epsilon_greedy,0,0,7,70,79,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
ucb1,0,0,7,70,79,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
softmax,0,0,7,70,79,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
pac_successive_elimination,0,0,7,70,79,1,baseline_laissez_faire,-99.13890797657619,-27.292670317211684,106.60616324892311,103.40818054805,1,0,0.01137091408632357,109.9617837825349
epsilon_greedy,0,0,8,80,89,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
ucb1,0,0,8,80,89,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
softmax,0,0,8,80,89,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
pac_successive_elimination,0,0,8,80,89,3,moderate_taxation,-99.05680515120808,-10.775922054862603,114.47649250161435,110.75147613375808,1,0,0.004763320119562626,118.31958340245376
epsilon_greedy,0,0,9,90,99,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
ucb1,0,0,9,90,99,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
softmax,0,0,9,90,99,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
pac_successive_elimination,0,0,9,90,99,4,high_taxation,-8.976263807111083,-4.201346870471051,123.35250477112646,119.20811426730057,1,0,0.0019953733173236885,127.60108023224724
epsilon_greedy,0,0,10,100,109,11,strong_marine_reserve,-99.11430741337455,-3.4859539636496613,106.70142487069262,103.05767664122041,1,0,0.0011209830599796225,110.42594177988168
ucb1,0,0,10,100,109,11,strong_marine_reserve,-99.11430741337455,-3.4859539636496613,106.70142487069262,103.05767664122041,1,0,0.0011209830599796225,110.42594177988168
softmax,0,0,10,100,109,11,strong_marine_reserve,-99.11430741337455,-3.4859539636496613,106.70142487069262,103.05767664122041,1,0,0.0011209830599796225,110.42594177988168
